State,State_Code,Hospitalization_Type,Expected_Payer,Y2003_Q1,Y2003_Q2,Y2003_Q3,Y2003_Q4,Y2004_Q1,Y2004_Q2,Y2004_Q3,Y2004_Q4,Y2005_Q1,Y2005_Q2,Y2005_Q3,Y2005_Q4,Y2006_Q1,Y2006_Q2,Y2006_Q3,Y2006_Q4,Y2007_Q1,Y2007_Q2,Y2007_Q3,Y2007_Q4,Y2008_Q1,Y2008_Q2,Y2008_Q3,Y2008_Q4,Y2009_Q1,Y2009_Q2,Y2009_Q3,Y2009_Q4,Y2010_Q1,Y2010_Q2,Y2010_Q3,Y2010_Q4,Y2011_Q1,Y2011_Q2,Y2011_Q3,Y2011_Q4,Y2012_Q1,Y2012_Q2,Y2012_Q3,Y2012_Q4,Y2013_Q1,Y2013_Q2,Y2013_Q3,Y2013_Q4,Y2014_Q1,Y2014_Q2,Y2014_Q3,Y2014_Q4
Arizona,AZ,Maternal,Medicaid,8350,8250,8800,8450,7950,7600,11100,11800,11050,11150,12950,12400,11600,11550,13200,12750,11550,11600,13400,12600,10100,9600,12950,11650,11300,10750,11950,11550,10850,10400,11500,10750,10150,9950,11100,10500,10200,9450,11050,10500,10000,9550,10750,10400,10200,9600,,
Arizona,AZ,Maternal,Medicare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona,AZ,Maternal,Private,10500,10450,13350,12850,12400,12200,10200,10100,9700,10050,10600,10150,10250,10450,11200,10700,10400,10500,11250,10800,12500,11900,11200,10700,9800,9550,10150,9300,9050,8900,9600,9150,8950,9000,9500,9050,9150,9150,9950,9350,9050,9100,9650,9450,9100,9200,,
Arizona,AZ,Maternal,Uninsured,950,900,750,800,650,700,700,800,800,750,950,900,850,900,1100,1100,900,950,1100,1000,950,850,1050,900,900,850,950,850,800,900,950,1000,1000,900,950,950,900,900,1050,1150,1000,950,1100,1200,1050,950,,
Arizona,AZ,Medical Cond-Asthma,Medicaid,200,150,150,250,200,200,150,250,350,250,200,300,250,200,200,250,250,200,200,250,300,250,200,300,400,350,250,450,400,300,300,400,500,300,250,300,300,150,200,200,250,150,150,200,350,200,,
Arizona,AZ,Medical Cond-Asthma,Medicare,250,200,150,350,450,200,200,250,450,350,200,350,450,250,200,250,400,250,150,250,550,400,200,300,500,350,200,350,550,350,250,350,600,350,250,300,450,300,200,250,550,250,200,250,450,300,,
Arizona,AZ,Medical Cond-Asthma,Private,400,250,250,450,400,250,200,300,350,250,200,350,350,200,200,300,350,200,200,250,500,300,200,300,400,200,200,350,350,250,150,250,400,200,150,200,350,200,200,250,300,200,150,200,250,150,,
Arizona,AZ,Medical Cond-Asthma,Uninsured,50,,50,50,50,,,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,50,50,100,50,50,50,100,100,100,50,150,200,150,150,200,200,150,150,150,150,50,,
Arizona,AZ,Medical Cond-CHF,Medicaid,200,200,200,200,200,200,250,300,350,300,300,300,350,300,250,300,300,300,250,250,300,200,250,250,300,300,300,250,350,300,300,300,300,250,250,200,200,200,200,200,250,250,200,200,350,350,,
Arizona,AZ,Medical Cond-CHF,Medicare,2200,1850,1900,2400,2750,2200,2100,2600,2900,2500,2050,2400,2750,2150,1750,2300,2800,2000,1750,2000,2850,2200,1850,2300,2800,2350,1900,2350,3000,2200,2000,2500,2950,2250,1800,2200,2650,2000,1800,2000,2550,2000,1600,1900,2400,1900,,
Arizona,AZ,Medical Cond-CHF,Private,300,300,250,300,300,300,250,250,300,250,250,250,300,250,250,300,300,250,250,250,350,350,300,300,300,200,200,250,300,250,200,200,250,200,200,200,250,200,200,200,200,200,200,200,250,250,,
Arizona,AZ,Medical Cond-CHF,Uninsured,50,,,50,50,50,50,50,50,50,50,50,50,50,50,50,100,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,100,100,150,150,150,150,200,250,200,150,200,150,100,,
Arizona,AZ,Medical Cond-Diabetes,Medicaid,400,400,450,400,400,450,550,500,500,550,600,600,550,600,550,600,550,600,650,600,500,500,650,650,700,750,800,800,750,800,900,850,850,850,750,650,550,550,600,550,450,450,500,500,700,750,,
Arizona,AZ,Medical Cond-Diabetes,Medicare,450,450,500,500,550,550,500,550,550,550,500,550,550,500,450,500,550,550,500,500,650,550,500,550,600,600,550,550,600,650,600,600,650,650,600,600,650,650,550,550,700,600,500,500,600,550,,
Arizona,AZ,Medical Cond-Diabetes,Private,450,400,500,550,450,500,400,400,400,400,400,450,400,400,450,450,400,400,500,450,600,600,500,500,450,450,500,500,450,450,450,500,500,450,500,500,500,500,450,500,500,500,450,450,450,450,,
Arizona,AZ,Medical Cond-Diabetes,Uninsured,50,50,100,100,100,100,100,100,100,100,100,100,100,100,150,150,150,100,100,150,150,150,150,150,150,150,150,150,150,200,150,150,150,200,300,400,400,450,450,500,500,500,500,450,250,200,,
Arizona,AZ,Medical Condition (All),Medicaid,6550,6800,7200,7050,6700,7200,8950,9000,9300,9700,9900,9500,9300,9850,9700,9250,9000,9300,9650,9300,8600,8750,10850,10250,11050,11600,12650,12250,12400,13000,14000,12750,13250,12400,11600,9700,9150,8550,8700,7900,8000,7850,7850,7500,11100,11550,,
Arizona,AZ,Medical Condition (All),Medicare,27200,23700,24750,29350,32850,27500,26600,29600,34450,31350,27450,32200,34600,28100,25900,28850,33550,28500,25650,28850,38200,32800,28900,32100,37950,33400,30050,33850,39850,35150,32100,36050,42100,35450,32400,34550,40400,34050,29900,33550,40450,32300,28800,30800,37300,32850,,
Arizona,AZ,Medical Condition (All),Private,13050,13450,14850,15000,14800,15150,14000,13650,14050,14050,13750,13850,13650,13550,13900,13850,14350,13900,13600,13150,16750,16850,14650,14350,14050,13750,13750,13900,14050,14050,13650,13300,13950,13250,12900,12650,13350,12700,12600,12250,12150,12000,11500,10950,12050,11600,,
Arizona,AZ,Medical Condition (All),Uninsured,1150,1100,1600,1600,1550,1650,1750,1650,1600,1750,1750,1700,1700,1800,2350,2350,2450,2400,2350,2200,2250,2450,2400,2250,2250,2350,2600,2600,2400,2550,2750,2900,2750,3300,4700,4950,5500,5750,6200,6100,6250,6350,6400,6050,3750,3150,,
Arizona,AZ,Mental Health,Medicaid,750,850,950,800,900,950,1250,1150,1000,1000,1400,1300,1350,1450,1100,1000,950,950,1100,1000,800,900,1200,1100,1150,1300,1350,1300,1400,1450,1600,1400,1500,1600,1700,1300,1300,1600,1500,1350,1400,1550,1550,1550,2000,1750,,
Arizona,AZ,Mental Health,Medicare,800,850,950,950,1000,1000,1000,950,900,950,1000,950,950,950,850,800,900,800,750,650,800,800,700,750,750,700,750,700,750,750,800,700,800,800,750,750,750,800,700,750,750,750,700,750,800,750,,
Arizona,AZ,Mental Health,Private,1600,1700,1800,1700,1900,1950,2250,2050,1750,1850,1500,1450,1400,1600,1600,1500,1400,1500,1450,1300,1750,2050,1750,1750,1650,1700,1850,1850,1750,1800,1550,1450,1500,1700,1700,1500,1250,950,900,900,900,950,900,850,900,800,,
Arizona,AZ,Mental Health,Uninsured,200,200,250,250,250,250,450,500,200,250,200,250,200,250,300,300,300,350,350,250,300,300,350,300,250,300,350,300,300,350,400,300,350,400,550,600,700,800,800,850,850,900,900,900,450,400,,
Arizona,AZ,Surgical,Medicaid,2850,3200,3350,3050,3100,3100,4450,4200,4250,4450,4600,4350,4300,4500,4250,4100,4100,4200,4500,4150,3850,3900,4900,4650,4900,5350,6000,5700,5750,6150,6400,5800,5650,5700,5250,4350,3900,3850,3700,3300,3200,3250,3300,3150,4200,4850,,
Arizona,AZ,Surgical,Medicare,14050,13050,13150,14400,16750,15450,14250,15200,17400,16300,14750,15700,17500,16050,13950,15350,17350,15450,13800,14800,17800,16600,14750,16050,18150,17000,15550,16400,18750,17000,15550,16700,18350,16400,15250,15750,17500,16100,14350,15400,17200,15800,14600,15750,17250,15550,,
Arizona,AZ,Surgical,Private,11750,12800,13700,13650,13250,13700,12650,12900,12200,12800,12450,12750,12450,13300,12850,13350,12950,13700,13150,13250,14000,14450,13400,14000,12550,13250,12900,13150,12000,12650,12250,12900,11450,12000,11400,11750,10900,11350,11000,11300,10000,10600,10000,10550,9250,10250,,
Arizona,AZ,Surgical,Uninsured,650,600,700,750,650,750,800,800,750,850,800,800,750,850,1000,1100,1100,1150,1200,1150,1050,1100,1100,1050,1000,1050,1150,1100,1000,1100,1050,1150,1100,1450,2000,2000,2000,2200,2200,2150,2100,2350,2350,2050,1300,1200,,
Arkansas,AR,All Adult Hospitalizations,Medicaid,,,,,9500,9550,10200,10200,10350,10000,10750,10400,10150,10350,11200,10550,10500,10400,11050,10600,10900,10300,10800,10250,10200,10350,11350,10850,10000,10200,10750,10250,10050,9850,10650,10150,10400,10200,10750,10250,9750,9400,9950,8750,,,,
Arkansas,AR,All Adult Hospitalizations,Medicare,,,,,38950,36250,35100,35900,40050,36850,34650,34900,38150,36050,34550,34550,37150,34300,33200,33950,36950,33600,33350,33850,35450,34050,32450,33250,32800,31850,30150,30550,32700,31650,30000,30100,34100,30950,29750,31050,33200,29300,27950,26250,,,,
Arkansas,AR,All Adult Hospitalizations,Private,,,,,18500,18550,18750,18650,18550,18100,18600,17550,18150,18850,18750,18100,17850,17700,18350,17950,17000,17000,17100,16350,16300,16550,16350,16000,14850,15350,15650,14550,14450,15450,15450,14950,15600,15700,15700,15600,15100,14950,16150,16800,,,,
Arkansas,AR,All Adult Hospitalizations,Uninsured,,,,,6050,6350,6150,5600,5800,5800,6300,5300,5500,5750,5800,5650,6150,6400,6300,6000,5750,6350,6550,5800,6000,6450,6550,5900,5950,6150,6300,5550,5400,6050,6150,5550,5450,5700,5850,5600,5500,5900,6350,5500,,,,
Arkansas,AR,Injury,Medicaid,,,,,200,250,300,250,200,250,300,250,250,250,250,250,200,250,250,200,200,250,250,250,200,250,250,250,200,250,300,200,250,250,250,250,250,250,300,250,200,250,250,200,,,,
Arkansas,AR,Injury,Medicare,,,,,1700,1750,1750,1900,1700,1750,1750,1800,1750,1800,1750,1800,1650,1850,1750,1750,1650,1700,1650,1850,1850,1700,1700,1800,1700,1650,1550,1650,1600,1600,1550,1600,1600,1700,1600,1700,1550,1550,1600,1450,,,,
Arkansas,AR,Injury,Private,,,,,700,950,950,850,750,950,950,850,800,1000,950,800,700,850,950,800,700,750,850,750,700,850,850,700,550,700,800,700,550,650,750,600,600,750,700,600,550,650,650,600,,,,
Arkansas,AR,Injury,Uninsured,,,,,600,700,750,650,550,750,800,600,600,700,650,650,550,700,750,550,500,650,750,650,600,700,750,600,550,650,700,550,450,650,650,550,450,650,650,500,450,600,650,450,,,,
Arkansas,AR,Maternal,Medicaid,,,,,4400,4250,4800,5000,4750,4750,5250,5150,4850,4900,5750,5450,5150,5050,5500,5400,5300,4850,5350,5050,4950,5000,5650,5400,4700,4700,5050,5050,4600,4400,5200,4800,4600,4550,4950,4900,4400,4200,4700,4200,,,,
Arkansas,AR,Maternal,Medicare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arkansas,AR,Maternal,Private,,,,,3550,3500,3700,3600,3350,3550,3750,3400,3350,3600,3750,3600,3500,3550,3800,3500,3150,3300,3400,3150,3200,3050,3400,3150,2700,3000,3150,2800,2800,3150,3350,3250,3300,3400,3650,3450,3250,3250,3800,3850,,,,
Arkansas,AR,Maternal,Uninsured,,,,,650,650,650,500,450,400,400,400,400,400,450,500,500,500,500,450,400,450,500,500,450,450,400,350,400,400,350,400,400,350,400,400,350,400,450,450,400,450,550,550,,,,
Arkansas,AR,Medical Cond-Asthma,Medicaid,,,,,100,100,100,100,150,100,50,100,100,50,50,100,100,100,100,100,100,50,50,100,100,100,100,100,100,50,50,100,100,50,50,50,100,50,50,50,50,50,50,50,,,,
Arkansas,AR,Medical Cond-Asthma,Medicare,,,,,250,250,100,150,400,200,150,200,250,150,100,200,250,100,100,150,250,150,100,150,200,200,100,150,250,150,100,100,200,150,50,150,200,150,100,150,200,150,100,100,,,,
Arkansas,AR,Medical Cond-Asthma,Private,,,,,150,100,100,150,250,150,100,150,150,100,100,100,150,100,100,100,150,100,50,100,100,100,100,150,150,100,100,150,100,100,50,100,100,100,50,100,100,100,50,100,,,,
Arkansas,AR,Medical Cond-Asthma,Uninsured,,,,,50,100,50,100,100,100,50,100,50,50,50,100,100,100,100,100,50,100,100,100,100,100,100,150,100,100,50,100,50,50,50,50,50,50,50,50,100,50,50,50,,,,
Arkansas,AR,Medical Cond-CHF,Medicaid,,,,,200,150,150,200,200,200,150,200,200,200,200,200,200,200,150,200,200,200,150,200,150,150,150,200,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,,,,
Arkansas,AR,Medical Cond-CHF,Medicare,,,,,2650,2400,2200,2200,2600,2250,2050,2150,2600,2250,2000,2200,2300,2000,1850,2000,2200,1950,1850,2000,2050,1950,1650,1900,1950,1800,1600,1750,1850,1700,1500,1650,1900,1600,1450,1700,1850,1500,1300,1400,,,,
Arkansas,AR,Medical Cond-CHF,Private,,,,,250,200,200,200,250,200,200,200,200,200,200,200,200,150,150,200,150,200,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,100,150,150,150,150,150,200,,,,
Arkansas,AR,Medical Cond-CHF,Uninsured,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,100,100,100,100,100,,,,
Arkansas,AR,Medical Cond-Diabetes,Medicaid,,,,,200,200,200,200,200,200,200,200,200,200,200,150,200,200,200,200,200,250,200,200,200,200,200,200,200,200,200,200,200,200,200,200,250,200,200,250,200,250,200,200,,,,
Arkansas,AR,Medical Cond-Diabetes,Medicare,,,,,450,400,350,350,400,400,400,350,350,350,350,350,350,350,300,350,350,350,350,350,350,300,300,300,300,350,250,300,350,300,300,250,300,300,250,250,300,300,300,250,,,,
Arkansas,AR,Medical Cond-Diabetes,Private,,,,,250,250,200,200,250,200,200,250,200,300,250,250,250,250,200,250,200,200,200,200,250,200,200,200,200,200,200,200,250,250,250,250,250,250,250,250,250,250,250,300,,,,
Arkansas,AR,Medical Cond-Diabetes,Uninsured,,,,,200,200,200,200,200,200,200,200,200,150,200,200,250,200,200,200,200,200,250,200,250,250,250,250,200,200,250,200,250,250,250,250,250,200,250,250,300,250,250,250,,,,
Arkansas,AR,Medical Condition (All),Medicaid,,,,,3100,3200,3150,3050,3400,3100,3250,3000,3150,3150,3150,2950,3250,3150,3250,3100,3400,3250,3100,3050,3100,3100,3300,3200,3200,3200,3300,3150,3300,3250,3150,3250,3500,3350,3400,3250,3250,3050,3000,2750,,,,
Arkansas,AR,Medical Condition (All),Medicare,,,,,27300,24850,23400,24350,28250,25100,22900,23400,26350,24050,22600,23000,25050,22400,21550,22550,25550,22350,21950,22550,24150,23100,21250,22300,22650,21450,20150,20650,22500,21500,20100,20400,23550,20750,19850,21150,23150,19700,18250,18000,,,,
Arkansas,AR,Medical Condition (All),Private,,,,,7600,7450,7350,7100,7800,7100,7150,6600,7300,7200,7000,6600,6900,6500,6650,6600,6950,6450,6450,6000,6400,6350,6050,6100,6200,6150,6050,5650,5900,5900,5850,5400,6250,5900,5750,5550,6000,5650,5950,6000,,,,
Arkansas,AR,Medical Condition (All),Uninsured,,,,,3050,3200,3000,2800,3050,2950,3200,2700,2850,2850,3000,2850,3200,3200,3150,3100,3100,3350,3350,3000,3100,3350,3500,3200,3200,3200,3400,2850,2950,3150,3200,2900,2900,2850,2950,2900,2900,3050,3100,2850,,,,
Arkansas,AR,Mental Health,Medicaid,,,,,600,700,750,750,750,700,750,800,750,800,800,800,750,800,750,700,800,800,900,800,850,850,900,850,800,900,900,800,800,800,900,750,850,950,950,850,900,900,1050,750,,,,
Arkansas,AR,Mental Health,Medicare,,,,,1350,1300,1400,1300,1400,1350,1350,1300,1350,1300,1350,1350,1350,1300,1350,1300,1350,1300,1350,1300,1350,1350,1350,1400,1350,1350,1350,1250,1300,1300,1200,1100,1050,1200,1050,1050,1100,1150,1150,1100,,,,
Arkansas,AR,Mental Health,Private,,,,,450,500,500,400,400,400,450,400,450,400,350,450,450,450,450,500,500,500,550,500,600,600,600,500,600,550,600,550,550,650,600,500,650,650,700,650,700,700,850,1100,,,,
Arkansas,AR,Mental Health,Uninsured,,,,,600,650,650,600,550,600,650,550,550,650,550,550,700,750,650,700,700,750,750,550,700,750,750,650,750,800,700,700,700,850,750,700,750,800,800,700,700,800,900,600,,,,
Arkansas,AR,Surgical,Medicaid,,,,,1200,1150,1250,1150,1200,1200,1200,1200,1200,1300,1300,1100,1200,1150,1250,1150,1200,1150,1200,1100,1050,1150,1250,1100,1050,1100,1150,1100,1100,1100,1150,1100,1200,1100,1200,1050,1000,1000,950,900,,,,
Arkansas,AR,Surgical,Medicare,,,,,8600,8350,8600,8350,8750,8650,8650,8400,8700,8900,8800,8400,9100,8750,8550,8350,8400,8250,8400,8150,8150,7900,8100,7750,7100,7350,7100,7000,7350,7300,7200,6950,7850,7350,7250,7150,7350,6900,6900,5750,,,,
Arkansas,AR,Surgical,Private,,,,,6150,6200,6300,6700,6200,6150,6300,6350,6250,6700,6750,6650,6250,6350,6500,6600,5700,6000,5800,5900,5450,5700,5450,5550,4800,4950,5050,4850,4750,5100,4950,5150,4800,5050,4900,5300,4600,4700,4900,5250,,,,
Arkansas,AR,Surgical,Uninsured,,,,,1100,1150,1100,1100,1150,1100,1250,1050,1050,1150,1150,1100,1200,1250,1250,1150,1050,1200,1200,1100,1200,1150,1150,1100,1050,1150,1150,1050,1000,1050,1100,1000,1000,1050,1050,1050,1050,1000,1200,1050,,,,
California,CA,All Adult Hospitalizations,Medicaid,123400,124700,134600,129600,126250,125850,135750,133150,130750,130200,138400,132050,128200,128550,138050,134550,130050,130650,141150,135650,138400,137350,145250,138000,134900,136450,147150,140500,140400,140350,149950,145400,142750,144250,149050,142450,139150,138500,148500,142050,138300,138050,145800,139350,169750,176550,,
California,CA,All Adult Hospitalizations,Medicare,255900,247800,242550,253100,261350,241350,238150,244750,262800,252750,242300,250400,260450,244600,236650,242350,256900,242450,231400,240400,271000,251050,239950,246100,257700,248900,239350,245850,267550,256150,248750,253400,270400,254850,243450,249850,268700,245750,237650,244950,267900,239750,234450,237450,248750,235300,,
